P_CODE,A_SECTOR,SHELF,REEF_NAME,REPORT_YEAR,SITE_NO,TRANSECT_NO,START_DEPTH
RM,WH,O,HYDE REEF,2013,1,4,7
RM,WH,O,HYDE REEF,2013,1,4,8
RM,WH,O,HYDE REEF,2013,1,5,8
RM,WH,O,HYDE REEF,2013,2,1,7
RM,WH,O,HYDE REEF,2013,2,1,9
RM,WH,O,HYDE REEF,2013,2,2,8
RM,WH,O,HYDE REEF,2013,2,3,8
RM,WH,O,HYDE REEF,2013,2,4,7
RM,WH,O,HYDE REEF,2013,2,4,8
RM,WH,O,HYDE REEF,2013,2,5,7
RM,WH,O,HYDE REEF,2013,2,5,9
RM,WH,O,HYDE REEF,2013,3,1,6
RM,WH,O,HYDE REEF,2013,3,1,7
RM,WH,O,HYDE REEF,2013,3,2,7
RM,WH,O,HYDE REEF,2013,3,3,7
RM,WH,O,HYDE REEF,2013,3,3,9
RM,WH,O,HYDE REEF,2013,3,4,7
RM,WH,O,HYDE REEF,2013,3,4,8
RM,WH,O,HYDE REEF,2013,3,5,8
RM,WH,O,HYDE REEF,2015,1,1,9
RM,WH,O,HYDE REEF,2015,1,2,9
RM,WH,O,HYDE REEF,2015,1,3,7
RM,WH,O,HYDE REEF,2015,1,3,9
RM,WH,O,HYDE REEF,2015,1,4,8
RM,WH,O,HYDE REEF,2015,1,4,9
RM,WH,O,HYDE REEF,2015,1,5,8
RM,WH,O,HYDE REEF,2015,1,5,9
RM,WH,O,HYDE REEF,2015,2,1,8
RM,WH,O,HYDE REEF,2015,2,2,8
RM,WH,O,HYDE REEF,2015,2,3,7
RM,WH,O,HYDE REEF,2015,2,3,8
RM,WH,O,HYDE REEF,2015,2,4,7
RM,WH,O,HYDE REEF,2015,2,4,8
RM,WH,O,HYDE REEF,2015,2,5,7
RM,WH,O,HYDE REEF,2015,2,5,8
RM,WH,O,HYDE REEF,2015,3,1,7
RM,WH,O,HYDE REEF,2015,3,1,8
RM,WH,O,HYDE REEF,2015,3,2,7
RM,WH,O,HYDE REEF,2015,3,2,8
RM,WH,O,HYDE REEF,2015,3,3,7
RM,WH,O,HYDE REEF,2015,3,4,7
RM,WH,O,HYDE REEF,2015,3,4,8
RM,WH,O,HYDE REEF,2015,3,5,7
RM,WH,O,HYDE REEF,2017,1,1,9
RM,WH,O,HYDE REEF,2017,1,2,9
RM,WH,O,HYDE REEF,2017,1,2,10
RM,WH,O,HYDE REEF,2017,1,3,9
RM,WH,O,HYDE REEF,2017,1,4,9
RM,WH,O,HYDE REEF,2017,1,5,9
RM,WH,O,HYDE REEF,2017,2,1,7
RM,WH,O,HYDE REEF,2017,2,1,8
RM,WH,O,HYDE REEF,2017,2,2,8
RM,WH,O,HYDE REEF,2017,2,3,8
RM,WH,O,HYDE REEF,2017,2,4,8
RM,WH,O,HYDE REEF,2017,2,5,8
RM,WH,O,HYDE REEF,2017,3,1,7
RM,WH,O,HYDE REEF,2017,3,2,7
RM,WH,O,HYDE REEF,2017,3,3,8
RM,WH,O,HYDE REEF,2017,3,4,7
RM,WH,O,HYDE REEF,2017,3,4,8
RM,WH,O,HYDE REEF,2017,3,5,6
RM,WH,O,HYDE REEF,2017,3,5,8
RM,WH,O,HYDE REEF,2019,1,1,8
RM,WH,O,HYDE REEF,2019,1,1,9
